symbol	GSM150190	GSM150191	GSM150192	GSM150193	GSM150194	GSM150195	GSM1256655	GSM1256660	GSM1256663	GSM1256664	GSM1256666	GSM1256673	GSM1256678	GSM1256679	GSM1256680	GSM1256699	GSM1256703	GSM1256707	GSM1256709	GSM1256719	GSM1256777	GSM1256779	GSM1256782
ANGPT2	5.66408844948171	5.4518360356978	5.36255093781056	5.10446897724445	5.32574293160329	5.41410874114868	5.43006387507168	5.24693579250299	5.40203632091247	5.43961929444749	5.54258384532716	5.10131643169777	5.1343675595815	5.18244421557019	5.05879633749328	5.1126641788274	5.29680238807635	5.17471034931875	5.13408755070543	5.39404694114505	5.67708111706334	5.54996967880679	5.6460867527783
FGF9	6.09732478146695	6.15478557609672	5.32773935979976	6.40659942500493	6.14548609546216	8.3111853065239	6.19562856212325	6.56676986095213	6.3064600929671	8.20947787741954	6.37240693300171	5.84004319171312	5.09518116968945	5.28072237674011	5.57323804722908	5.64727023642559	5.30664315105312	5.41818260299245	5.26663090237488	5.77868573690261	6.0844926814846	7.79406857964387	6.07112047346977
FRAS1	6.25643844883625	6.57208906033488	6.42315492710726	6.39130867011852	6.64310822032096	6.54404576097719	6.58183717988699	6.5385214939385	6.74133175414585	6.66673386751266	6.37506340442001	6.78600552568271	6.20745197118251	6.09887792124349	6.37703461963958	6.27919792108367	6.27713837369707	6.22823908499992	6.15608662787464	6.4331935965776	6.47521747947001	6.69190372109098	6.45166474943063
FREM1	8.93982440572644	8.23198651267692	7.82140377147105	8.67013688762993	7.5760785264167	7.55477868805721	8.244771014252	8.72065035646441	7.68525519366965	7.71812271378319	8.88059879289265	6.07977491466693	6.0440896582672	6.4822460716936	6.99070553107465	6.63436749003481	5.96804977438536	7.06648116475621	6.68179366223711	7.49816560781383	8.89496954029504	7.36735386258404	9.31956103557887
IGF1	11.61549203514	11.265450087931	11.2224265722651	11.1543171652314	11.439737262004	10.6618107190541	11.6822892235371	11.5162016642426	11.7054837184868	11.2435419140707	11.8904376559251	10.4024756787647	10.2512005797532	9.92741936633862	10.4892919933182	9.80072628106679	10.5180135542265	10.7754648997395	10.1199740895507	10.7827630953078	11.3013560805559	9.19058099751831	11.4564040294548
IL15	6.02051737115726	5.88421900824674	5.70468246173304	6.69907711249338	6.00799492324423	6.27061826410432	6.26445500155689	6.72593436034495	6.41826469462375	6.59332801925672	6.21490674395785	6.23067742840619	6.44469124007655	5.62292629001336	6.0628102878134	5.73705901226464	6.32464186370533	6.19169073795638	5.82569173024471	6.50025149993287	7.45215683200537	8.16147038525443	7.48153997654577
LAMA1	5.94814499657459	4.44342418925569	6.2258187625926	5.94815331863479	6.61298696697959	5.45326086770133	4.03765462784464	4.95483369015777	6.11068346959976	5.09858788055192	5.55544424786591	4.76802005055683	2.92547449947465	3.64978494545238	5.47884088837964	4.75969696228733	4.02785682571277	4.7813284240742	4.43663508441231	5.63929571102466	5.33952365659324	6.27564333108606	6.451211274637
LAMB1	8.52689871415245	7.95146780218609	8.05467157762387	8.44912496964372	8.02143379066578	8.14989391412932	8.68556284713061	9.1816665361161	8.94707831839792	8.91749089607855	9.07530123198564	8.25021658490216	7.93195152888247	7.61731407465258	8.04248847226798	7.55152470500965	8.01272496126501	7.88829795255291	7.92697798834074	8.34032545418583	8.93987001292979	8.88467584708087	8.70322295864456
LAMC1	9.99935166839747	9.49534458794899	10.0147632764126	9.85176880696071	9.78947292675125	9.8608023986992	9.9155579206005	10.0868481232729	10.1279812069469	10.1249297108557	10.2428755265368	9.22534407482705	8.89724725024389	9.16821406030691	9.50660262735229	8.86305042069289	8.62149559599319	9.43416955776213	9.21374934760017	9.69920341010678	9.99539309638441	10.3848965124993	10.1887444457284
LAMC2	6.53236479550588	6.43659361324739	7.01698383957576	6.98009733179021	6.76949511246709	6.79281733297101	6.48876475573003	6.88196186802141	6.71272282027445	6.75746596707476	6.54511684979136	6.33300514549618	6.08700129222121	6.30426390387467	6.6340703506721	6.27771917372212	6.1085128043149	6.43622021560958	6.46488846084205	6.40582741126436	7.28167179357112	7.77582528930768	6.88598816020185
PDGFC	8.22940113066539	7.66996735577646	8.07403519759133	8.03334956296017	8.28213885640002	7.99045266799662	7.35131146593338	7.67320319874117	7.89312061106133	7.59879151449765	7.88778338552368	6.7262355064424	6.04990559427086	6.49471512424077	7.5667488640987	6.21669439970421	5.97003750469423	7.40260788024096	7.21666237413565	8.06086424635644	7.99553205713233	8.63219901969338	7.77227394281479
PDGFD	6.52738984413203	6.57625120139814	6.12205245720089	7.11130439231883	6.51401806683895	7.55539234104682	6.89165146682717	7.06475851562362	6.78614101354325	8.05449735664117	6.84519616133686	5.56497126997349	5.63900451820503	5.67767347043036	6.01007004990775	6.06381428211797	5.21852789589238	6.09964691300187	5.92537020020293	6.5556557523163	6.87715338966747	6.84242731725247	6.26796448172196
SPP1	9.38317265407244	9.45587262774912	7.92343494277666	9.96614497236526	8.63615007837315	11.0745762069964	9.65975487324577	10.0296890026124	8.57575737297135	11.3640184216786	9.68181730256693	9.1666049631311	8.86544651840367	6.96390947552967	9.03998301303745	7.61960552364936	7.98954971938238	7.45869967230357	8.00923460609614	9.2781815536958	9.74922356010927	11.6368050091258	8.08744258331478
TNFSF10	7.8350013112851	7.81251812491908	7.9492398390349	8.82418002051006	8.42545594773011	9.38386850227453	7.91548674110311	9.1411390853175	8.66920618056299	9.43260288248024	8.03035978565709	6.93664957566343	6.21562270876125	6.51324349368763	7.66317754112313	7.26657661793015	6.3927729872215	7.11854871401752	7.19418206778979	7.35261347511099	8.64882410702708	10.4676745544155	8.50652523424954
